Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen
Lionel Messi\Lionel-Messi,79,0,3,50,35,6
Ansu Fati\Ansu-Fati,38,0,4,17,23,5
Pedri\Pedri,15,1,2,8,8,0
Antoine Griezmann\Antoine-Griezmann,19,0,4,6,9,2
Francisco Trincão\Francisco-Trincao,24,0,2,14,10,4
Philippe Coutinho\Philippe-Coutinho,46,1,3,31,15,1
Miralem Pjani?\Miralem-Pjanic,20,0,8,7,7,0
Frenkie de Jong\Frenkie-de-Jong,64,2,12,37,16,2
Sergio Busquets\Sergio-Busquets,91,1,16,55,21,2
Jordi Alba\Jordi-Alba,59,2,23,27,16,0
Sergiño Dest\Sergino-Dest,16,0,6,5,5,1
Gerard Piqué\Gerard-Pique,79,16,45,40,0,0
Ronald Araújo\Ronald-Araujo,67,12,34,36,0,0
Sergi Roberto\Sergi-Roberto,93,3,33,39,24,3
Neto\Neto,48,43,48,0,0,0
15 Players,758,81,243,372,189,26
